Phrase	NPQ	IDF	PMI	CMI
， 	 1178.6250388781298 	 -0.03278982282299084 	 1000 	 -3.7399979018441676
的 	 902.1271607058738 	 -0.03278982282299084 	 1000 	 -5.739772785966267
社会发展及体育部高级政务次长符喜泉 	 649.980274344425 	 1.455287232606842 	 7.689111587269969 	 -1000
在 	 274.751687231884 	 -0.03278982282299084 	 1000 	 -4.914952333116722
是 	 246.1452329860125 	 -0.03278982282299084 	 1000 	 -3.7615631700776233
总理公署兼卫生部政务次长曾士生 	 189.04356199729617 	 1.2039728043259361 	 6.608098747202937 	 -1000
一 	 161.9904878052341 	 -0.03278982282299084 	 1000 	 -2.9935675441258125
不 	 155.98972425004385 	 -0.03278982282299084 	 1000 	 -3.375625228183751
人 	 151.74489490033974 	 -0.03278982282299084 	 1000 	 -3.3388983942530563
有 	 150.79344008941163 	 -0.03278982282299084 	 1000 	 -2.0273472299990725
和 	 141.78015425966845 	 -0.03278982282299084 	 1000 	 -3.9571791582137688
他 	 140.59606569471492 	 -0.03278982282299084 	 1000 	 -2.230710974476464
国 	 137.65739375028969 	 -0.03278982282299084 	 1000 	 -2.19899385915332
中 	 127.98756198424817 	 -0.03278982282299084 	 1000 	 -3.0187921652366474
为 	 111.82138152386034 	 -0.03278982282299084 	 1000 	 -2.556557831277422
了 	 108.92750045708476 	 -0.03278982282299084 	 1000 	 -3.3615137513723305
这 	 108.87021403050456 	 -0.03278982282299084 	 1000 	 -3.329886425198945
会 	 102.41975367102 	 -0.03278982282299084 	 1000 	 -3.3780345609880715
以 	 97.44852693674765 	 -0.03278982282299084 	 1000 	 -3.2650305952834446
说 	 90.27129428381657 	 -0.03278982282299084 	 1000 	 -2.177047367951487
新航副主席兼总裁张松光博士 	 89.30512535643848 	 1.0986122886681098 	 5.987256375463048 	 -1000
也 	 85.27943985273812 	 -0.03278982282299084 	 1000 	 -5.45752537564487
对 	 84.73002017951165 	 -0.03278982282299084 	 1000 	 -3.4548476406742816
大 	 83.28381362103579 	 -0.03278982282299084 	 1000 	 -3.4574695837521667
上 	 81.86412265384737 	 -0.03278982282299084 	 1000 	 -4.458687585384127
